RAW	190926	205928	276311	07
GEOM1	01.16	00.10	16.886895	0.146938	55.242915	0.148580	40.32	03.04	233.53	04.31	01.21	02
GEOM2	01.16	00.10	16.896986	0.148546	55.231988	0.149276	41.23	03.09	231.70	05.60	0004.291	0001.930	00.72	01
LDF	17.122901	0.121013	55.187002	0.089218	0315709.0	0077526.1	63.96	06.19	03
GLDF	01.09	00.04	17.101500	0.108183	55.206235	0.077685	37.48	02.87	230.70	04.16	0487510.7	0236042.0	72.65	09.81	07
0675	02	05.50814	05.50814	02.13	01.56	02.84	35.32	-0.04
0777	04	01.21975	01.21975	476.44	489.14	04.48	38.84	-0.02
0977	04	00.72057	00.72057	01.20	01.90	07.92	38.89	-0.09
0977	01	08.46028	08.45528	01.14	01.48	07.92	38.89	-0.09
0878	04	00.00000	00.00000	09.02	06.82	06.34	40.13	-0.02
0876	04	02.12796	02.12796	01.90	04.28	06.27	37.12	-0.05
0776	04	02.22112	02.22112	17.09	16.35	04.49	37.09	-0.04
1076	01	04.65121	04.65121	00.70	01.54	09.70	37.20	-0.12
0877	04	00.57662	00.58661	42.94	55.88	06.20	38.86	-0.05
0676	04	03.04122	03.04122	05.92	03.45	02.77	37.09	-0.03
0000	00	00.00000	00.00000	00.00	00.00	00.00	00.00	00.00
0000	00	00.00000	00.00000	00.00	00.00	00.00	00.00	00.00
0000	00	00.00000	00.00000	00.00	00.00	00.00	00.00	00.00
0000	00	00.00000	00.00000	00.00	00.00	00.00	00.00	00.00
