RAW	190615	213215	445135	07
GEOM1	04.12	00.14	13.591638	0.147576	49.084366	0.151041	65.93	01.01	302.40	00.86	01.30	02
GEOM2	04.12	00.14	13.594259	0.149646	49.086894	0.150006	66.46	02.55	302.50	01.86	0001.586	0001.983	00.17	01
LDF	13.457054	0.102742	48.794544	0.103728	0000218.0	0000032.6	21.37	20.66	04
GLDF	04.31	00.12	13.470881	0.097125	48.763465	0.100433	65.71	00.78	301.76	00.72	0000236.6	0000078.7	21.30	29.87	08
0574	04	03.39783	03.27292	12.75	19.40	01.13	33.54	-0.04
0673	04	05.60853	05.48861	16.91	15.55	02.92	31.83	-0.04
0674	04	04.31087	04.18596	07.62	22.92	02.84	33.58	-0.04
0575	04	02.10383	01.98391	05.19	03.43	01.13	35.27	-0.03
0675	01	00.00000	00.00000	00.00	01.80	02.84	35.32	-0.04
0876	01	00.57189	00.44698	56.96	19.30	06.27	37.12	-0.05
0776	01	09.47180	09.35188	01.42	00.63	04.49	37.09	-0.04
0573	04	04.73390	04.60898	69.40	67.83	01.13	31.81	-0.04
0474	04	02.66695	02.54703	04.72	02.18	-0.59	33.51	-0.01
0475	04	01.24863	01.12371	05.41	15.87	-0.66	35.24	-0.01
